Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
281,1902_01_TeamMG_TeamA3,74,19.0,74,2210493,1,1
282,1902_01_TeamMG_TeamA3,74,19.0,74,2210993,2,2
283,1902_01_TeamMG_TeamA3,74,19.0,74,2211693,2,3
284,1902_01_TeamMG_TeamA3,74,19.0,74,2212943,6,9
285,1902_01_TeamMG_TeamA3,74,19.0,74,2214043,0,5
715,1902_01_TeamMG_TeamA3,186,46.0,186,5893543,1,1
716,1902_01_TeamMG_TeamA3,186,46.0,186,5894043,255,16
717,1902_01_TeamMG_TeamA3,186,46.0,186,5894293,255,16
718,1902_01_TeamMG_TeamA3,186,46.0,186,5895793,2,2
719,1902_01_TeamMG_TeamA3,186,46.0,186,5896443,2,3
720,1902_01_TeamMG_TeamA3,186,46.0,186,5897193,255,16
721,1902_01_TeamMG_TeamA3,186,46.0,186,5897293,5,9
722,1902_01_TeamMG_TeamA3,186,46.0,186,5898443,0,5
462,1902_03_TeamMG_TeamA3,117,33.0,117,3825946,1,1
463,1902_03_TeamMG_TeamA3,117,33.0,117,3826446,2,2
464,1902_03_TeamMG_TeamA3,117,33.0,117,3827096,2,3
465,1902_03_TeamMG_TeamA3,117,33.0,117,3828246,4,2
466,1902_03_TeamMG_TeamA3,117,33.0,117,3828996,0,5
1091,1902_03_TeamMG_TeamA3,271,71.0,271,9733646,1,1
1092,1902_03_TeamMG_TeamA3,271,71.0,271,9734096,255,16
1093,1902_03_TeamMG_TeamA3,271,71.0,271,9736246,2,2
1094,1902_03_TeamMG_TeamA3,271,71.0,271,9737296,2,3
1095,1902_03_TeamMG_TeamA3,271,71.0,271,9737896,255,16
1096,1902_03_TeamMG_TeamA3,271,71.0,271,9738496,255,16
1097,1902_03_TeamMG_TeamA3,271,71.0,271,9738896,255,16
1098,1902_03_TeamMG_TeamA3,271,71.0,271,9739296,255,16
1099,1902_03_TeamMG_TeamA3,271,71.0,271,9739546,255,16
1100,1902_03_TeamMG_TeamA3,271,71.0,271,9739796,255,16
1101,1902_03_TeamMG_TeamA3,271,71.0,271,9740046,255,16
1102,1902_03_TeamMG_TeamA3,271,71.0,271,9740546,4,2
1103,1902_03_TeamMG_TeamA3,271,71.0,271,9741096,4,3
1104,1902_03_TeamMG_TeamA3,271,71.0,271,9742196,1,2
1105,1902_03_TeamMG_TeamA3,271,71.0,271,9743146,0,5
72,1902_05_TeamML_TeamB,17,5.0,17,477129,1,1
73,1902_05_TeamML_TeamB,17,5.0,17,477629,2,2
74,1902_05_TeamML_TeamB,17,5.0,17,478429,2,3
75,1902_05_TeamML_TeamB,17,5.0,17,480179,255,16
76,1902_05_TeamML_TeamB,17,5.0,17,480929,255,16
77,1902_05_TeamML_TeamB,17,5.0,17,481429,255,16
78,1902_05_TeamML_TeamB,17,5.0,17,481829,255,16
79,1902_05_TeamML_TeamB,17,5.0,17,481929,8,2
80,1902_05_TeamML_TeamB,17,5.0,17,483179,8,3
81,1902_05_TeamML_TeamB,17,5.0,17,484579,6,2
82,1902_05_TeamML_TeamB,17,5.0,17,484579,0,5
43,1902_08_TeamMJ_TeamB,12,3.0,12,283044,1,1
44,1902_08_TeamMJ_TeamB,12,3.0,12,283494,2,2
45,1902_08_TeamMJ_TeamB,12,3.0,12,284144,2,3
46,1902_08_TeamMJ_TeamB,12,3.0,12,285444,6,2
47,1902_08_TeamMJ_TeamB,12,3.0,12,285944,0,5
310,1902_08_TeamMJ_TeamB,80,21.0,80,2885344,1,1
311,1902_08_TeamMJ_TeamB,80,21.0,80,2885844,2,2
312,1902_08_TeamMJ_TeamB,80,21.0,80,2886494,2,3
313,1902_08_TeamMJ_TeamB,80,21.0,80,2887744,4,2
314,1902_08_TeamMJ_TeamB,80,21.0,80,2888444,0,5
395,1902_08_TeamMJ_TeamB,103,26.0,103,3770444,1,1
396,1902_08_TeamMJ_TeamB,103,26.0,103,3770894,2,2
397,1902_08_TeamMJ_TeamB,103,26.0,103,3771494,2,3
398,1902_08_TeamMJ_TeamB,103,26.0,103,3772844,6,2
399,1902_08_TeamMJ_TeamB,103,26.0,103,3773644,0,5
648,1902_08_TeamMJ_TeamB,169,43.0,169,6558644,1,1
649,1902_08_TeamMJ_TeamB,169,43.0,169,6559094,2,2
650,1902_08_TeamMJ_TeamB,169,43.0,169,6559744,2,3
651,1902_08_TeamMJ_TeamB,169,43.0,169,6560994,6,9
652,1902_08_TeamMJ_TeamB,169,43.0,169,6561494,255,16
653,1902_08_TeamMJ_TeamB,169,43.0,169,6562194,255,16
654,1902_08_TeamMJ_TeamB,169,43.0,169,6563344,4,2
655,1902_08_TeamMJ_TeamB,169,43.0,169,6564644,4,3
656,1902_08_TeamMJ_TeamB,169,43.0,169,6565544,6,2
657,1902_08_TeamMJ_TeamB,169,43.0,169,6565744,0,5
848,1902_08_TeamMJ_TeamB,222,56.0,222,8460894,1,1
